arbitro_id,nombre
1,A. Acosta Sosa
2,A. Adami
3,A. Anzálas
4,A. Bochetti
5,A. Carro
6,A. Castillo
7,A. Cinciripini
8,A. Da Gama Malcher
9,A. Desir
10,A. Estadés
11,A. Favielo
12,A. Fernández
13,A. Ferrando
14,A. Franco Rodríguez
15,A. Gabler
16,A. Gasso Pérez
17,A. Gnecco
18,A. Goinheinx
19,A. Inverso
20,A. Macris
21,A. Madrid
22,A. Magni
23,A. Mancebo
24,A. Manelli
25,A. Margenda
26,A. Marques
27,A. Martí
28,A. Mejía Sánchez
29,A. Molinelli
30,A. Nogueira
31,A. Ortube
32,A. Otero
33,A. Panizza
34,A. Parodi
35,A. Pazos
36,A. Pivete
37,A. Prieto
38,A. Quirolo
39,A. Ramírez
40,A. Reginatto
41,A. Reynal
42,A. Riveiro
43,A. Rodríguez
44,A. Sabarrós
45,A. Sebastiani
46,A. Sáenz
47,A. Tapia
48,A. Valdéz
49,A. Vega
50,A. Velázquez
51,A. Vidart
52,A. Vilariño
53,A.E. Pazos
54,Abel Anzalas
55,Abel Gnecco
56,Abel Sabarrós
57,Abilio Caetano Bueno
58,Adamasco
59,Adrián Climent
60,Adrián Pereira
61,Agomir Martins
62,Agustín Imbriago
63,Agustín Martí
64,Airton Bernardoni
65,Albert Caballero
66,Alberto Boullosa
67,Alberto Ducatelli
68,Alberto Martínez González
69,Alberto Tejada
70,Aldo Matei
71,Aldo Varrazzani
72,Aldwin Bradley
73,Aldwyn Bradley
74,Alejandro Barrios
75,Alejandro Otero
76,Alejandro Valenzuela (Preparador Físico de Peñarol)
77,Alex Cajas
78,Alexandre Lourenço Barreto
79,Alexis Herrera
80,Alexis Pérez
81,Alfonso Álvarez
82,Alfredo Cardozo
83,Alirio Blanquicet
84,Alirio Blanquiceth
85,Alviero
86,Alício Pena Júnior
87,Amelio Graña
88,Anahí Fernández
89,Anderson Daronco
90,Andrés Cunha
91,Andrés Martínez
92,Andrés Matonte
93,Andrés Rojas
94,Anibal Ruíz
95,Anibal Tejada
96,Antonio Arias
97,Antonio Carreira
98,Antonio Cherullo
99,Antonio Da Silva Garrido
100,Antonio García
101,Antonio Navarrete Reyes
102,Antonio Pakutka
103,Antonio Pereira
104,Antonio de Lucca
105,Aníbal Tejada
106,Aristizabal
107,Armando Marques
108,Armando Peña Rocha
109,Armando Pérez Hoyos
110,Arnaldo Coelho
111,Arnaldo Correa
112,Arnaldo Prati
113,Arnaldo Samaniego
114,Artemio Sención
115,Arthur Berry
116,Arthur Devine
117,Arturo Ibáñez
118,Arturo Ithurralde
119,Arturo Rodas
120,Arturo Yamasaki
121,Asterio Martínez
122,Atilio Sebastiani
123,Augusto Olmos
124,Aurelio Bossolino
125,Ayrton Vieira de Moraes
126,Aírton Domingos Bernardoni
127,B. Rueda
128,B. Zeballos
129,Bahoffer
130,Balsarou
131,Barrera Fuentes
132,Bartolomé Macías
133,Bayarri Ribelles
134,Bello Revello
135,Berrio
136,Bert Cross
137,Beschin
138,Bestchi
139,Blavier
140,Boga
141,Bonifacio Núñez
142,Bove Frías
143,Brandon
144,Bruno Paixao
145,Bruno Sacarelo
146,Byron Moreno
147,C. Bueno
148,C. Canero
149,C. Casajoux
150,C. Castillo
151,C. Curto
