dt_id,nombre
1,A. Basile
2,A. Cappa
3,A. Petrullo
4,Abel Balbo
5,Abel Braga
6,Abraham Yeladián
7,Adolfo Barán
8,Adán Machado
9,Alberto Gamero
10,Alberto Langlade
11,Alberto Martínez
12,Alberto Mena
13,Alberto Quintela
14,Alberto Suppici
15,Aldo Bobadilla
16,Alejandro Apud
17,Alejandro Bertoldi
18,Alejandro Botello
19,Alejandro Cappuccio
20,Alejandro Cappuccio Amarilla
21,Alejandro Cappuccio Roja 75'
22,Alejandro Capuccio
23,Alejandro Garay
24,Alejandro Larrea
25,Alejandro Orfila
26,Alejandro Orfila Amarilla
27,Alexander Medina
28,Alexander Medina Roja 101'
29,Alexis Mendoza
30,Alfredo Arias
31,Alvaro Fuerte
32,Alvaro Regueira
33,Angel Castelnoble
34,Antonio Alzamendi
35,Antonio Da Costa Castanheira
36,Antonio Mohamed
37,Antonio Pacheco
38,Aníbal Montero
39,Aníbal Tejada
40,Apraham Yeladian
41,Ariel De Armas
42,Ariel Krasouski
43,Ariel Krasowski
44,Ariel Longo
45,Ariel de La Fuente
46,Armando Renganeschi
47,Artur Jorge
48,Athuel Velázquez
49,Baldo Raineri
50,Beethoven Javier
51,Bela Guttman
52,Benito Floro
53,Bernardo Giordano
54,Bob Bradley
55,Brian Schmetzer
56,Bruno Lazaroni
57,Bruno Piano
58,Bruno Silva
59,Carlos Aguilera
60,Carlos Alberto Parreira
61,Carlos Babington
62,Carlos Barcos
63,Carlos Bianchi
64,Carlos Canobbio
65,Carlos Ischia
66,Carlos Laje
67,Carlos López Fretes
68,Carlos Manta
69,Carlos Peucelle
70,Carlos Ramacciotti
71,Carlos Savaresse
72,Carlos Timoteo Griguol
73,Carlos Wallace
74,Ceferino Bencomo
75,Celso Ayala
76,Celso Roth
77,Claudio Biaggio
78,Comisión de Fútbol
79,Cristian Chambian
80,Cristian Díaz
81,César Farías
82,César Luis Menotti
83,César Payovich
84,Césare Rossi
85,D. Torres
86,Damián Tipani
87,Daniel Bañales
88,Daniel Carreño
89,Daniel Farías
90,Daniel Martínez
91,Daniel Oldrá
92,Daniel Passarella
93,Daniel Rocco
94,Daniel Sánchez
95,Daniel Torres
96,Danielo Núñez
97,Danilo Baltierra
98,Danilo Núñez
99,Darlyn Gayol
100,Darío Herrera
101,Darío Larrosa
102,Darío Rodríguez
103,David Amaral
104,Diego Aguirre
105,Diego Alonso
106,Diego Barragán
107,Diego Forlán
108,Diego Jaume
109,Diego López
110,Diego Monarriz
111,Dino Sani
112,Dorival Junior
113,E. Fernández
114,Edgar Martínez
115,Edgardo Arias
116,Edgardo Bauza
117,Edison Machín
118,Eduardo Acevedo
119,Eduardo Baptista
120,Eduardo Barros
121,Eduardo Del Capellán
122,Eduardo Domínguez
123,Eduardo Espinel
124,Eduardo Favaro
125,Eduardo Rivera
126,Eduardo Uzal
127,Eduardo del Capellan
128,Elbio Tomás Pagano
129,Emerson Leao
130,Emiliano Alfaro
131,Emérico Hirsch
132,Enrique Viola
133,Erich Ribbeck
134,Ernesto Ledesma
135,Esteban Conde
136,Ever Almeida
137,Fabián Bustos
138,Fabián Coito Amarilla
139,Federico Nieves
140,Federico Vairo
141,Fernando Araújo
142,Fernando Correa
143,Fernando Curuchet
144,Fernando Curutchet
145,Fernando Diniz
146,Fernando Morena
147,Fernando Ortiz
148,Fernando Quiroz
149,Francisco Arce
150,Francisco Paladino
151,Francisco Palladino
152,Francisco Salomon
153,Francisco Salomón
154,Franco Navarro
155,Franco Paladino
156,Gabriel Di Noia
157,Gabriel Milito
158,Gabriel Peralta
159,Gabriel Perrone
160,Gaizka Garitan
161,Gastón Machado
162,Gerardo Martino
163,Gerardo Pelusso
