estadio_id,nombre
1,1 y 57 de la Ciudad de La Plata
2,18 de Julio de Tacuarembó
3,19 de Octubre de Ijuí
4,23 de Agosto
5,Adrián Irala de Asunción
6,Alberto Jacinto Armando (La Bombonera) de Buenos Aires
7,Alejandro Villanueva - Matute de Lima
8,Alfredo Jaconi de Caxias do Sul
9,Allianz Parque de São Paulo
10,Amílcar Prieto del Melo F.C.
11,Antonio Pena de Catú de Bahía
12,Antonio Romero de Ciudad de Formosa
13,Antonio Vespucio Liberti (Monumental) de Buenos Aires
14,Aníbal Rocha de Castillos
15,Arena Independencia de Belo Horizonte
16,Arena da Baixada de Curitiba
17,Arquitecto Antonio Eleuterio Ubilla de Melo
18,Arquitecto Ricardo Etcheverri de Buenos Aires
19,Asunción
20,Atanasio Girardot de Medellín
21,Atilio Paiva Olivera de Rivera
22,Atocha de San Sebastián
23,Av. Alvear y Tagle de Buenos Aires
24,Azteca de Ciudad de México
25,BMO de Toronto
26,Badajoz
27,Banc of California Stadium
28,Barrio Alegre Trenque Lauquen
29,Belford Duarte de Curitiba
30,Belgrado
31,Bella Vista de Ambato
32,Belvedere
33,Benito Villamarín de Sevilla
34,Bento Freitas de Pelotas
35,Bossley Park de Sidney
36,"Brigadier Lopez ""Cementerio de los elefantes"" de Santa Fe"
37,Bruselas
38,Buenos Aires
39,Camilo Cichero de Buenos Aires
40,Campeones Olímpicos de Florida
41,Campeón del Siglo
42,Campo Deportivo Bodio de Suiza
43,Campo del Bellusco en Milan
44,Campus Municipal Domingo Burgueño Miguel de Maldonado
45,Campus Municipal Profesor Alberto Suppici de Colonia
46,Carazinho de Erechim de de Rio Grande do Sul
47,Carlos Belmonte de Albacete
48,Carlos Tartiere de Oviedo
49,Casablanca de Quito
50,Casto Martínez Laguarda de San José
51,Celtic Park de Glasgow
52,Centenario
53,Centro Empleados de Comercio de Treinta y Tres
54,Charrúa
55,Chateau Carreras de Córdoba
56,Ciudad Universitaria de Ciudad de México
57,Ciudad de Mérida
58,Ciudad de México
59,Ciudad de Valencia
60,Ciudad de Vicente López
61,Club Juventud de Colonia
62,Colombes de Francia
63,Colonia
64,Complejo Deportivo Samuel Priliac del Chuy
65,Complejo Deportivo de Danubio en Ruta 101
66,Complejo Militar General Artigas
67,Complejo Rentistas
68,Comunal El Pireo de Atenas
69,Comunal Karuiskaki de Atenas
70,Comunal La Fiorita Dino Manuzzi de Cesena
71,Comunal Modelo de Manta
72,Comunal de Turín
73,Comunale de Atalanta
74,Corona de Torreón
75,Cuenca
76,Cuscatlán de El Salvador
77,Cámpus Municipal de Durazno
78,Cícero Pompeu de Toledo (Morumbi) de São Paulo
79,Córdoba
80,Da Baixada de Porto Alegre
81,Da Luz de Lisboa
82,Das Antas de Porto
83,Das Laranjeiras en Río de Janeiro
84,De Barrio Rocamora de Misiones
85,De Honor de Casablanca
86,De La Revolución Panameña
87,Defensores del Chaco de Asunción
88,Deportivo Cali de Cali
89,Do Dragao de Porto
90,Doble Visera de Avellaneda
91,Dolores
92,Dos Eucaliptus de Porto Alegre
93,Dr. Nicolás Léoz (La Huerta) de Asunción
94,Durazno
95,Durival de Brito de Curitiba
96,Eduardo Martínez Monegal de Canelones
97,Ejercito Rojo de Belgrado
98,El Bosque de Asunción
99,El Cilindro
100,El Madrigal de Villarreal
101,El Pireo de Atenas
102,El Sadar de Pamplona
103,El Sardinero de Santander
104,El Teniente de Rancagua
105,Ennio Tardini de Parma
106,Evandro Almeida de Belém do Pará
107,FAU Stadium de Boca Ratón
108,Feliciano Cáceres de Luque
109,Felix Capriles de Cochabamba
110,Fernando Londoño de Manizales
111,Ferroviario de Lourenço Marques
112,Field Irineo Brito de Nueva Palmira
113,Field Juan Lacaze
114,Field La Visera de Río Negro
115,Field Liga Universitaria
116,Field Los Perales de Carmelo
117,Field Municipal de Catamarca
118,Field Municipal de Durazno
119,Field Municipal de Melo
120,Field Municipal de Minas
121,Field Municipal de Pelotas
122,Field Oriental de Rivera
123,Field Paso de los Toros
124,Field de Arroyito de Rosario Central
125,Field de Artesano de Nueva Helvecia
126,Field de Boca Juniors en Buenos Aires
127,Field de Colonia
128,Field de Córdoba
129,Field de El Dorado en Misiones
130,Field de Estudiantes de La Plata
131,Field de Juventus de Canelones
132,Field de Libertad Concordia
133,Field de Los Olivos en Bella Unión
134,Field de Maldonado
135,Field de Melo
136,Field de Misiones
137,Field de Nueva Palmira
138,Field de Parque Rodó
139,Field de Porto Viejo
140,Field de Racing de Avellaneda
141,Field de San Lorenzo en Pando
142,Field de Santiago del Estero
143,Field de Trinidad
144,Field de Valdivia
145,Field de la Liga Universitaria
146,Field de la Liga de Tacuarembó
