gol_id,match_id,jugador,equipo_flag,minuto,es_penal,es_en_contra
1,32145,Matías Arezo,P,1,True,False
2,32145,Gary Kagelmacher,T,8,False,True
3,32145,Gastón Togni,P,32,True,False
4,32145,Lucas Duré,T,53,False,False
5,32146,Guillermo Gandolfo,C,57,False,False
6,32146,Lucas Pino,C,71,False,False
7,32146,Matías Arezo,P,90,True,False
8,32147,Eric Remedi,P,32,False,True
9,32147,Matías Arezo,P,62,True,False
10,32147,Leonardo Fernández,P,79,True,False
11,32148,Matías Arezo,P,76,True,False
12,32149,Enzo Cabrera,D,8,False,False
13,32149,Luis Angulo,P,75,True,False
14,32150,Maximiliano Olivera,P,24,True,False
15,32151,Matías Arezo,P,17,True,False
16,32151,Luis Angulo,P,25,True,False
17,32151,Cristian Barros,C,45,False,False
18,32151,Roberto Fernández,P,90,True,False
19,32152,Eduardo Darias,P,6,True,False
20,32152,Matías Arezo,P,80,True,False
21,32153,Yury Oyarzo,R,42,False,False
22,32153,Alex Vázquez,R,47,False,False
23,32153,Maximiliano Olivera,P,90,True,False
24,32154,Luis Miguel Angulo,Pe,24,False,False
25,32154,Luis Miguel Angulo,Pe,38,False,False
26,32155,Ruben Bentancourt,L,5,False,False
27,32155,Martín Rabuñal,L,41,False,False
28,32156,Renzo Rabino,J,45,False,False
29,32156,Abel Hernández,P,73,True,False
30,32156,Fernando Mimbacas,J,78,False,False
31,32156,Leandro Umpiérrez,P,81,True,False
32,32157,Facundo Labandeira,W,57,False,False
33,32158,Leandro Umpiérrez,P,18,True,False
34,32158,Brian Montenegro,D,67,False,False
35,32159,Diego Daguerre,C,45,False,False
36,32159,Facundo Batista,P,60,True,False
37,32159,Leandro Umpiérrez,P,74,True,False
38,32159,Federico Sellechchia,C,83,False,False
39,32159,Abel Hernández,P,87,True,False
40,32179,Emmanuel Olivera,I,19,False,False
41,32179,Matías Arezo,P,58,True,False
42,32180,Guido Mainero,Pl,21,False,False
43,32180,Matías Arezo,Pe,57,False,False
44,32180,Franco Zapiola,Pl,63,False,False
45,32181,Gustavo Henrique,C,11,False,False
46,32181,Jesse Lingard,C,25,False,False
47,32182,Facundo Batista,Pe,28,False,False
48,32182,Agustín Lagos,Pl,39,False,False
49,19986,Javier Méndez,P,15,True,False
50,19986,Lucas Acosta,L,18,False,False
51,19986,Abel Hernández,L,34,False,False
52,19986,Maximiliano Olivera,P,71,True,False
53,19987,Leonardo Fernández,P,49,True,False
54,19988,Lucas Correa,C,21,False,False
55,19988,Eric Remedi,P,45,True,False
56,19988,Maximiliano Silvera,P,56,True,False
57,19988,Jaime Báez,P,90,True,False
58,19989,Matías Arezo,P,81,True,False
59,19989,Héctor Villalba,P,84,True,False
60,19990,Dennis Olivera,M,2,False,False
61,19990,Sebastián Da Silva,M,44,False,False
62,19990,Matías Arezo,P,56,True,False
63,19990,Matías Arezo,P,78,True,False
64,19991,Maximiliano Olivera,P,45,True,False
65,19991,Matías Arezo,P,46,True,False
66,19991,Maximiliano Silvera,P,60,True,False
67,19992,Enzo Larrosa,C,23,False,False
68,19992,e Ignacio Neira,C,53,False,False
69,19993,Diego Abreu,D,3,False,False
70,19993,Lucas Hernández,P,45,True,False
71,19993,Lucas Hernández,P,54,True,False
72,19994,Eduardo Agüero,M,26,False,True
73,19994,Matías Arezo,P,61,True,False
74,29120,Luis Machado,T,23,False,False
75,29120,Leandro Umpiérrez,P,77,True,False
76,29120,David Terans,P,90,True,False
77,31133,Matías Arezo,P,47,True,False
78,31133,Maximiliano Silvera,P,61,True,False
79,31135,Guillermo Reyes,Pl,62,False,True
80,31135,en contra y Eric Remedi,Pe,84,False,False
81,31136,Abel Hernández,L,92,False,False
82,31136,Diego García,P,103,True,False
83,31136,Leonardo Fernández,P,115,True,False
84,31137,Christian Ebere,N,113,False,False
85,31138,Juan Cruz De Los Santos,N,9,False,False
86,31138,Gonzalo Carneiro,N,36,False,False
87,31138,Matías Arezo,P,45,True,False
88,31138,Leonardo Fernández,P,53,True,False
89,31142,Felipe Méndez,C,41,False,False
90,31142,Facundo Batista,P,90,True,False
91,32140,Brandon Álvarez,P,18,True,False
92,32142,Gastón Ramírez,B,15,False,False
93,32142,Brandon Álvarez,P,20,True,False
94,32142,Brandon Álvarez,P,38,True,False
95,32142,Alexander González,B,44,False,False
96,19979,Leonardo Fernández,P,4,True,False
97,19979,Maximiliano Villa,M,18,False,False
98,19979,Leonardo Fernández,P,70,True,False
99,19980,Ayrton Cougo,Pr,30,False,False
100,19980,Leonardo Fernández,Pe,76,False,False
101,19980,Matías Arezo,Pe,89,False,False
102,19981,Maximiliano Silvera,P,31,True,False
103,19981,Emanuel Gularte,P,45,True,False
104,19981,Matías Arezo,P,85,True,False
105,19982,Guillermo López,B,41,False,False
106,19982,Agustín Albarracin,B,48,False,False
107,19982,Matías Arezo,P,79,True,False
108,19983,David Terans,P,10,True,False
109,19983,de penal y Maximiliano Silvera,P,58,True,False
110,19984,Javier Méndez,P,10,True,False
111,19984,Ignacio Sosa,P,16,True,False
112,19984,Hugo Silveira,R,18,False,False
113,19984,Maximiliano Silvera,P,53,True,False
114,19984,Diego García,P,85,True,False
115,19985,Leonardo Fernández,P,54,True,False
116,23041,Javier Cabrera,P,22,True,False
117,23041,Maximiliano Olivera,P,85,True,False
118,23042,Diego García,P,25,True,False
119,23042,Facundo Bonifazi,C,28,False,False
120,23043,Leonardo Fernández,P,30,True,False
121,23043,Maximiliano Olivera,P,63,True,False
122,23043,David Terans,P,88,True,False
123,23044,Maximiliano Olivera,P,23,True,False
124,23044,Maximiliano Silvera,P,36,True,False
125,23044,Faustino Barone,R,79,False,False
126,23044,Javier Cabrera,P,89,True,False
127,23045,Maximiliano Silvera,P,45,True,False
128,23045,Hugo Quintana,L,49,False,False
