jugador_id,nombre
18150,Sebastián Britos
10991,Emanuel Gularte
2704,Nahuel Herrera
19154,Lucas Ferreira
18147,Franco Escobar
8816,Eric Remedi
438,Jesús Trindade
5751,Leandro Umpiérrez
4734,Leonardo Fernández
19155,Gastón Togni
2648,Matías Arezo
8813,Kevin Rodríguez
2703,Andrés Madruga
4727,Eduardo Darias
5765,Facundo Batista
19156,Diego Laxalt
3723,Franco González
13050,Leandro Díaz
1985,Matías González
8836,Stiven Muhlethaler
8839,Brandon Álvarez
19168,Luis Angulo
445,Lucas Hernández
15111,Julio Daguer
4736,Luciano González
19150,Ignacio Alegre
8814,Lorenzo Couture
1809,Washington Aguerre
22169,Nicolás Fernández
539,Maximiliano Olivera
20168,Mauricio Lemos
5763,Germán Barbas
1852,Abel Hernández
8832,Facundo Álvez
5762,Tomás Olase
18148,Brian Barboza
23186,Paulo Da Costa
12034,Brayan Cortés
2036,Pedro Milans
4733,Javier Méndez
3713,Ignacio Sosa
8805,Diego García
4728,Maximiliano Silvera
436,David Terans
6771,Damián Suárez
8809,Martín Campaña
8808,Gastón Silva
8815,Héctor Villalba
6766,Jaime Báez
407,Alejo Cruz
5752,Kevin Morgan
19151,Rodrigo Álvez
4739,Santiago Benítez
19153,Facundo Martínez
8834,Mateo Ureta
8833,Agustín González
19152,Tiago Martinelli
19157,Francisco Fernández
22172,Valentín Rivera
8837,Estevan Pereyra
19165,Víctor Antúnez
8812,Dilan Flores
19158,Lucas Peña
8838,Lucas Ibarra
19160,Máximo Machado
19159,Ignacio Charrutti
22170,Tiago Glattli
19164,Ignacio López
19161,Ezequiel Torres
19163,Bruno Manzoni
19162,Renzo Cupla
22171,Arón Méndez
22173,Juan Quevedo
3712,Guillermo de Amores
8846,Juan Rodríguez
4723,Javier Cabrera
8810,Alexander Machado
3718,Camilo Mayada
6775,Rodrigo Pérez
2573,Leonardo Coelho
3717,Mathías de Ritis
6770,Felipe Avenatti
2705,Damián García
4738,Guzmán Rodríguez
596,Gastón Ramírez
5739,Leonardo Sequeira
5741,Martín Gianoli
567,Sebastián Cristóforo
6769,Adrián Fernández
6781,Alan Medina
434,Nicolás Rossi
4726,Diego Sosa
5749,Matheus Babi
4732,Nahuel Acosta
4729,Byron Castillo
2463,Randall Rodríguez
3714,Ángel González
3715,José Neris
17130,Nahuel De Armas
3710,Santiago Díaz
1844,Brian Mansilla
460,Thiago Cardozo
401,Matías Aguirregaray
1846,Hernán Menosse
2581,Carlos Sánchez
2032,Kevin Méndez
2416,Santiago Homenchenko
3705,Bruno Betancor
2525,Matías Ferreira
1987,Jhonatan Lima
433,Valentín Rodríguez
2532,Sebastián Rodríguez
2034,Yonatthan Rak
415,Rodrigo Saravia
2673,Diego Rolan
414,Juan Manuel Ramos
2643,Óscar Cruz
402,Máximo Alonso
1990,Pablo López
3709,Braulio Guisolfo
2642,Joaquín Ferreira
408,Kevin Dawson
420,Agustín Da Silveira
404,Agustín Álvarez Wallace
2033,Brian Lozano
465,Lucas Viatri
1762,Sergio Núñez
2037,Hernán Rivero
1984,Nicolás Milesi
418,Ezequiel Busquets
410,Walter Gargano
