match_id,fecha,dia_semana,equipo_local_id,equipo_visitante_id,goles_local,goles_visitante,penales_local,penales_visitante,torneo_id,fase,estadio_id,localia_penarol,asistencia,arbitro_id,dt_local_id,dt_visitante_id
31139,01/02/2026,Domingo,305,276,0,0,4,2,161,Final,52,Neutral,45.000,332,104,224
32145,07/02/2026,Sábado,305,271,3,1,,,164,Fecha 1,41,Local,25.000,563,104,369
32146,15/02/2026,Domingo,82,305,2,1,,,164,Fecha 2,44,Visitante,15.000,714,432,104
32147,22/02/2026,Domingo,305,147,2,1,,,164,Fecha 3,41,Local,25.000,565,104,156
32148,01/03/2026,Domingo,276,305,0,1,,,164,Fecha 4,171,Visitante,38.000,92,224,104
32149,07/03/2026,Sábado,305,129,1,1,,,164,Fecha 5,41,Local,27.000,440,104,110
32150,14/03/2026,Sábado,8,305,0,1,,,164,Fecha 6,52,Visitante,15.000,145,139,104
32151,21/03/2026,Sábado,305,90,3,1,,,164,Fecha 7,41,Local,19.000,92,104,565
32152,25/03/2026,Miércoles,70,305,0,2,,,164,Fecha 8,40,Visitante,3.000,820,210,104
32153,29/03/2026,Domingo,305,342,1,2,,,164,Fecha 9,41,Local,22.000,461,104,79
32154,04/04/2026,Sábado,336,305,0,2,,,164,Fecha 10,52,Visitante,12.000,88,346,104
32155,13/04/2026,Lunes,305,251,0,2,,,164,Fecha 11,41,Local,18.000,92,104,183
32156,20/04/2026,Lunes,305,228,2,2,,,164,Fecha 12,41,Local,10.000,565,104,521
32157,26/04/2026,Domingo,272,305,1,0,,,164,Fecha 13,52,Visitante,10.000,714,388,104
32158,04/05/2026,Lunes,305,132,1,1,,,164,Fecha 14,41,Local,7.500,821,104,496
32159,11/05/2026,Lunes,92,305,2,3,,,164,Fecha 15,17,Visitante,-,563,96,104
32179,09/04/2026,Jueves,214,305,1,1,,,87,Grupo E - Fecha 1,298,Visitante,18.000,570,443,104
32180,16/04/2026,Jueves,305,325,1,2,,,87,Grupo E - Fecha 2,41,Local,35.000,256,104,556
32181,30/04/2026,Jueves,121,305,2,0,,,87,Grupo E - Fecha 3,299,Visitante,45.000,224,145,104
32182,07/05/2026,Jueves,325,305,1,1,,,87,Grupo E - Fecha 4,60,Visitante,-,634,556,104
19986,13/09/2025,Sábado,251,305,2,2,,,172,Fecha 7,32,Visitante,3.000,440,234,104
19987,21/09/2025,Domingo,305,228,1,0,,,172,Fecha 8,41,Local,17.000,92,104,110
19988,27/09/2025,Sábado,92,305,1,3,,,172,Fecha 9,52,Visitante,15.000,713,96,104
19989,05/10/2025,Domingo,305,129,2,0,,,172,Fecha 10,41,Local,17.000,563,104,186
19990,11/10/2025,Sábado,266,305,2,2,,,172,Fecha 11,405,Visitante,9.000,461,53,104
19991,19/10/2025,Domingo,305,272,3,0,,,172,Fecha 12,41,Local,20.000,332,104,88
19992,25/10/2025,Sábado,90,305,2,0,,,172,Fecha 13,227,Visitante,2.000,563,528,104
19993,02/11/2025,Domingo,305,132,2,1,,,172,Fecha 14,41,Local,35.000,440,104,210
19994,09/11/2025,Domingo,271,305,0,2,,,172,Fecha 15,52,Visitante,16.000,332,369,104
29120,24/09/2025,Miércoles,503,305,1,2,,,35,4tos de final,180,Visitante,8.000,330,328,104
31133,15/10/2025,Miércoles,305,132,2,0,,,35,Semifinal,326,Neutral,5.500,1046,104,210
31135,29/10/2025,Miércoles,305,326,2,0,,,35,Final,52,Neutral,30.000,330,104,12
31136,16/11/2025,Domingo,305,251,2,1,,,13,Semifinal,52,Neutral,30.000,92,104,234
31137,30/11/2025,Domingo,276,305,1,0,,,13,Final,171,Visitante,38.000,440,224,104
31138,23/11/2025,Domingo,305,276,2,2,,,13,Final,41,Local,40.000,563,104,224
31141,17/01/2026,Sábado,305,363,0,0,2,4,158,,44,Neutral,16.000,563,104,368
31142,21/01/2026,Miércoles,305,103,1,1,3,4,158,,52,Local,30.000,92,104,147
31143,12/01/2026,Lunes,305,82,0,0,5,3,139,8vos de final,264,Neutral,5.000,91,104,446
32140,19/01/2026,Lunes,305,342,1,0,,,139,4tos de final,326,Neutral,3.500,312,330,79
32142,23/01/2026,Viernes,305,70,2,2,2,4,139,Semifinal,326,Neutral,3.200,330,330,220
19979,17/05/2025,Sábado,305,271,2,1,,,164,Fecha 15,41,Local,11.000,461,104,382
19980,01/08/2025,Viernes,305,336,2,1,,,172,Fecha 1,41,Local,-,92,104,24
19981,09/08/2025,Sábado,305,276,3,0,,,172,Fecha 2,41,Local,-,563,104,441
