torneo_id,nombre,status
1,4to Centenario Río de Janeiro,Amistoso
2,Amistoso (internacional),Amistoso
3,Amistoso (local),Amistoso
4,Campeonato Charles Mille,Amistoso
5,Campeonato Competencia,Oficial
6,Campeonato Competencia - Campeonato Nacional General Artigas,Oficial
7,Campeonato Competencia - Campeonato de Honor,Oficial
8,Campeonato Estadio Centenario,Oficial
9,Campeonato Nacional General Artigas,Oficial
10,Campeonato Nocturno - Tres Ciudades,Amistoso
11,Campeonato Pentagonal Amistoso,Amistoso
12,Campeonato Río de la Plata (Copa Dr. Ricardo Aldao),Oficial
13,Campeonato Uruguayo,Oficial
14,Campeonato Uruguayo - Campeonato de Honor,Oficial
15,Campeonato Uruguayo - Copa (por exiliados del) Pueblo Argentino,Oficial
16,Campeonato Uruguayo - Copa 10 años del Estadio Luis Tróccoli,Oficial
17,Campeonato Uruguayo - Copa Asociación de la Prensa,Oficial
18,Campeonato Uruguayo - Copa Humberto Dorsa,Oficial
19,Campeonato Uruguayo - Copa Olinda Bozan – Nicolás Mesutti,Oficial
20,Campeonato Uruguayo - Trofeo (diario) El País,Oficial
21,Campeonato Uruguayo - Trofeo 50° Aniversario del A.C.U. (Automóvil Club del Uruguay),Oficial
22,Campeonato Uruguayo - Trofeo Agustín Imbriago,Oficial
23,Campeonato Uruguayo - Trofeo Héctor Scarone,Oficial
24,Campeonato Uruguayo - Trofeo Pedro Bernat- Nicolás Messuti,Oficial
25,Campeonato Vencedores de América,Amistoso
26,Campeonato de Honor,Oficial
27,"Copa ""1.000.000 de Vera LTE""",Amistoso
28,Copa 339 Años de Fundación de Colonia del Sacramento,Amistoso
29,Copa 342 Años de Fundación de Colonia del Sacramento,Amistoso
30,Copa 50° Aniversario de Bella Vista,Amistoso
31,Copa 54° Aniversario de Racing,Amistoso
32,Copa 63° Aniversario del Club Atlético Peñarol,Amistoso
33,Copa 75° Aniversario del Club Atlético Peñarol,Amistoso
34,Copa A. da Guía,Amistoso
35,Copa AUF Uruguay,Oficial
36,Copa Alejandro Villanueva,Amistoso
37,Copa Alicante,Amistoso
38,Copa Amistad,Amistoso
39,Copa Aniversario - Bodas de Oro - Copa Aniversario - Bodas de Oro,Amistoso
40,Copa Antel - Bicentenario del Proceso de Emancipación,Amistoso
41,Copa Antel de Verano,Amistoso
42,Copa Año Nuevo Lunar,Amistoso
43,Copa Banco del Estado,Amistoso
44,Copa Bayer 04,Amistoso
45,Copa Bimbo,Amistoso
46,Copa Bracafé - Copa Banco de Galicia,Amistoso
47,Copa C. N. E. F. (Comisión Nacional de Educación Física),Amistoso
48,Copa Campomar y Soulas S. A.,Amistoso
49,Copa Carlos Gardel,Amistoso
50,Copa Celaya,Amistoso
51,Copa Centenario del Club Olimpia,Amistoso
52,Copa Ciudad de Guayaquil,Amistoso
53,Copa Ciudad de Mar del Plata,Amistoso
54,Copa Ciudad de Trinidad,Amistoso
55,Copa Concejo Departamental de Montevideo,Amistoso
56,Copa Confraternidad,Amistoso
57,Copa Conmebol,Oficial
58,Copa De Ensayo,Amistoso
59,Copa De la Paz de la O. N. U.,Amistoso
60,Copa Del Ayuntamiento Coruñés,Amistoso
61,Copa Dos Ciudades,Amistoso
62,Copa Día del Trabajador,Amistoso
63,Copa El Gráfico - Perú,Amistoso
64,Copa Embajada de Israel,Amistoso
65,Copa Embajada del Uruguay en Costa Rica,Amistoso
66,Copa Embajador Francisco Pons Etcheverry,Amistoso
67,Copa Enjoy - Punta del Este,Amistoso
68,Copa EuroAmericana,Amistoso
69,Copa Forever Faster Puma,Amistoso
70,Copa G. Guelfi – L. Siviero,Amistoso
71,Copa General Omar Torrijos,Amistoso
72,Copa Gob. Manuel Fresco de la Prov. de Bs. As.,Amistoso
73,"Copa Gobernador de Rio Grande do Sul, Leonel De Moura Brizola",Amistoso
74,Copa Gustavo A. Volpe,Amistoso
75,Copa Gustavo Estévez,Amistoso
76,"Copa Inauguración, del Estadio Campeón del Siglo",Amistoso
77,Copa Inmigrante Latino,Amistoso
78,Copa Intendencia Municipal de Paysandú,Amistoso
79,Copa Intendencia de Rio Negro,Amistoso
80,Copa Intercontinental de Clubes,Oficial
81,Copa Intercontinental de Clubes - Copa Bodas de Diamante de Philips,Oficial
82,Copa Intercontinental de Clubes - Copa Toyota,Oficial
83,Copa Isla de Tenerife,Amistoso
84,Copa J. Bacigaluppi - J.M. Sosa,Amistoso
85,Copa Julio Mendoza,Amistoso
86,Copa Junta Local Suárez y Toledo,Amistoso
87,Copa Libertadores de América,Oficial
88,"Copa Libertadores de América - Trofeo C.S.D.C. Expresso ""E""",Oficial
89,Copa Libertadores de América - Trofeo Embajada del Uruguay en Bolivia,Oficial
90,Copa Libertadores de América - Trofeo XV Aniversario Seguros Carabobo,Oficial
91,Copa Lord Wellington; Virrey de la India,Amistoso
92,Copa Los Cuatro Presidentes,Amistoso
93,Copa Maracay,Amistoso
94,Copa Martini - Rossi - Trofeo Copa Zeni – J. P. Gariboni,Amistoso
95,Copa Master Card,Amistoso
96,Copa Mercosur,Oficial
97,"Copa Ministro de Instrucción Pública, Cdte. Valdéz del Paraguay",Amistoso
98,Copa Mohamed V de Casablanca,Amistoso
99,Copa Montevideo,Amistoso
100,Copa Montevideo - Copa Montevideo II,Amistoso
101,"Copa Montevideo - Trofeo Presidente de la República de Chile, Gral. D. Carlos Ibáñez",Amistoso
102,Copa Naranja,Amistoso
103,Copa Omar Fontana,Amistoso
104,Copa Organización Multinstitucional Armenia del Uruguay,Amistoso
105,Copa Oro y Negro,Amistoso
106,Copa Parmalat,Amistoso
107,Copa Pre-Inauguración (del Estadio de Barcelona S.C.),Amistoso
108,Copa Presidente Gral. Morinigo de la República del Paraguay,Amistoso
109,Copa Primavera,Amistoso
110,Copa Punta del Este,Amistoso
111,Copa Raul Morlino,Amistoso
