match_id,home_team,home_goals,away_goals,away_team,home_penalty_goals,away_penalty_goals,date,weekday,tournament,tournament_status,phase,stadium,locality,attendance,referee,assistant_1,assistant_2,fourth_official,var,avar,goals_text,home_coach,away_coach
31139,Peñarol,0,0,Nacional,4,2,01/02/2026,Domingo,Supercopa Uruguaya,Oficial,Final,Centenario,Neutral,45.000,Esteban Ostojich,Nicolás Taran,Andrés Nievas,Esteban Guerra,Leodán González,Yimmi Álvarez y Richard Trinidad,,Diego Aguirre,Jadson Viera
32145,Peñarol,3,1,Montevideo City Torque,,,07/02/2026,Sábado,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 1,Campeón del Siglo,Local,25.000,Javier Burgos,Mathías Muniz,Marcos Rosamen,Pablo Silveira,Jonhatan Fuentes,Diego Riveiro,"Matías Arezo (P) 1', Gary Kagelmacher (T e/c) 8', Gastón Togni (P) 32' y Lucas Duré (T) 53'",Diego Aguirre,Marcelo Méndez
32146,Central Español,2,1,Peñarol,,,15/02/2026,Domingo,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 2,Campus Municipal Domingo Burgueño Miguel de Maldonado,Visitante,15.000,Leodán González,Pablo Llarena,Ernesto Hartwig,Kevin Fontes,Yimmy Álvarez,Daniel Rodríguez,"Guillermo Gandolfo (C) 57', Lucas Pino (C) 71' y Matías Arezo (P) 90+3'",Pablo De Ambrosio,Diego Aguirre
32147,Peñarol,2,1,Deportivo Maldonado,,,22/02/2026,Domingo,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 3,Campeón del Siglo,Local,25.000,Javier Feres,Horacio Ferreiro,Javier Irazoqui,Anahí Fernández,Antonio García,Richard Trinidad,"Eric Remedi (P e/c) 32', Matías Arezo (P) 62' y Leonardo Fernández (P) 79'",Diego Aguirre,Gabriel Di Noia
32148,Nacional,0,1,Peñarol,,,01/03/2026,Domingo,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 4,Gran Parque Central,Visitante,38.000,Andrés Matonte,Agustín Berisso,Héctor Bergalo,Daniel Rodríguez,Leodan González,Diego Riveiro y Nicolás Tarán,Matías Arezo (P) 76',Jadson Viera,Diego Aguirre
32149,Peñarol,1,1,Danubio,,,07/03/2026,Sábado,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 5,Campeón del Siglo,Local,27.000,Gustavo Tejera,Andrés Nievas,Marcelo Alonso,Leandro Lasso,Jonhatan Fuentes,Santiago Fernández,Enzo Cabrera (D) 8' y Luis Angulo (P) 75',Diego Aguirre,Diego Monarriz
32150,Albion F. C.,0,1,Peñarol,,,14/03/2026,Sábado,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 6,Centenario,Visitante,15.000,Bruno Sacarelo,Pablo Llarena,Daiana Fernández,Augusto Olmos,Christian Ferreyra,Richard Trinidad,Maximiliano Olivera (P) 24',Federico Nieves,Diego Aguirre
32151,Peñarol,3,1,Cerro,,,21/03/2026,Sábado,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 7,Campeón del Siglo,Local,19.000,Andrés Matonte,Carlos Barreiro,Matías Rodríguez,Andrés Martínez,Leodan González,Santiago Fernández,"Matías Arezo (P) 17', Luis Angulo (P) 25', Cristian Barros (C) 45+1' de penal, Roberto Fernández (P) 90+1' de penal",Diego Aguirre,Álvaro Pintos
32152,Boston River,0,2,Peñarol,,,25/03/2026,Miércoles,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 8,Campeones Olímpicos de Florida,Visitante,3.000,Mathías De Armas,Agustín Berisso,Carlos Roca,Ruben Umpiérrez,Jonhatan Fuentes,Federico Piccardo,Eduardo Darias (P) 6' y Matías Arezo (P) 80',Ignacio Ithurralde,Diego Aguirre
32153,Peñarol,1,2,Racing,,,29/03/2026,Domingo,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 9,Campeón del Siglo,Local,22.000,Hernán Heras,Andrés Nievas,Sebastián Schroeder,Felipe Vikonis,Daniel Rodríguez,Richard Trinidad,"Yury Oyarzo (R) 42', Alex Vázquez (R) 47' y Maximiliano Olivera (P) 90'+1",Diego Aguirre,Cristian Chambian
32154,Progreso,0,2,Peñarol,,,04/04/2026,Sábado,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 10,Centenario,Visitante,12.000,Anahí Fernández,Nicolás Tarán,Nicolás Piaggio,Pablo Silveira,Andrés Cunha,Santiago Fernández,Luis Miguel Angulo (Pe) 24' y Luis Miguel Angulo (Pe) 38',Leonel Rocco,Diego Aguirre
32155,Peñarol,0,2,Liverpool,,,13/04/2026,Lunes,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 11,Campeón del Siglo,Local,18.000,Andrés Matonte,Horacio Ferreiro,Alberto Píriz,Daniel Rodríguez,Antonio García,Pablo Llarena,Ruben Bentancourt (L) 5' y Martín Rabuñal (L) 41',Diego Aguirre,Gustavo Ferrín
32156,Peñarol,2,2,Juventud de Las Piedras,,,20/04/2026,Lunes,Torneo Apertura - Campeonato Uruguayo,Oficial,Fecha 12,Campeón del Siglo,Local,10.000,Javier Feres,Martín Soppi,Gustavo Márquez Lisboa,Andrés Martínez,Yimmy Álvarez,Javier Irazoqui,"Renzo Rabino (J) 45+2', Abel Hernández (P) 73', Fernando Mimbacas (J) 78' y Leandro Umpiérrez (P) 81'",Diego Aguirre,Sergio Blanco
